Status,Key,Value,Description,Notes,Key_Category ,Service,Entity_Type,Entity_Name,Item_Type,Working_Notes
Live,GAS_LIMIT,TBD,Limit of GAS to expend per transaction,-,CONFIG_DATA,PAYMENT_SERVICE ,ALL,ALL,TABLE_COLUMN,-
Live,GQL Prefix,gql,gql.{DOMAIN_NAME},-,ENV_VAR,ALL,ALL,ALL,URL,-
Live,GQL_CERTIFICATE_ARN,arn:aws:acm:us-east-1:770440470799:certificate/xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx,ARN of the certificate for the BASE_GQL_URL (Global Region US-EAST-1),-,CONFIG_DATA,ALL,ALL,ALL,URL,-
Planned,GQL_PLAYGROUND_PREXIX,play.gql,play.gql.{DOMAIN_NAME},-,ENV_VAR,ALL,ALL,ALL,URL,-
Live,HMAC_SECRET_KEY_PNP,See Param_Store ,CORE HMAC Key,-,ENV_VAR,PAYMENT_SERVICE ,ALL,ALL,SECRET,-
Live,HMAC_SECRET_KEY_PNPD,See Param_Store ,PNPD Wallet Providers HMAC Key,-,ENV_VAR,PAYMENT_SERVICE ,ALL,ALL,SECRET,-
Live,HMAC_SECRET_KEY_WEST,See Param_Store ,WEST Wallet Providers HMAC Key,-,ENV_VAR,PAYMENT_SERVICE ,ALL,ALL,SECRET,-
Live,HOSTED_ZONE_ID,zxxxxxx,Route 53 Hosted Zone Id of the  DOMAIN_NAME ,-,CONFIG_DATA,ALL,ALL,ALL,VALUE,-
Live,IOS_APPSTORE_CONNECT_API_KEY_ID,In AWS Secrets,Mobile application build and deploys Credentials ,-,ENV_VAR,MOBILE,WALLET_PROVIDER,ALL,SECRET,-
Live,IOS_APPSTORE_CONNECT_ISSUER_ID,In AWS Secrets,Mobile application build and deploys Credentials ,-,ENV_VAR,MOBILE,WALLET_PROVIDER,ALL,SECRET,-
Live,IOS_APPSTORE_CONNECT_PRIVATE_KEY_BASE64,In AWS Secrets,Mobile application build and deploys Credentials ,-,ENV_VAR,MOBILE,WALLET_PROVIDER,ALL,SECRET,-
Live,IOS_KEYCHAIN_PASSWORD,In AWS Secrets,Mobile application build and deploys Credentials ,-,ENV_VAR,MOBILE,WALLET_PROVIDER,ALL,SECRET,-
